team,elo,gf_prom_5,gc_prom_5,elo_prom_5,gf_prom_15,gc_prom_15,PCA_1,PCA_2,confed
Algeria,1698.475885409844,1.0,1.8,1829.6827671972267,1.8666666666666667,0.9333333333333333,1.5964780363506028,1.6117358736904208,4
Argentina,2069.114095635312,2.8,1.0,1668.9208808810454,2.6,0.6,-0.0007677266916213,0.0002437217326143,2
Australia,1719.6224041143616,2.0,1.6,1660.3431781661507,1.4666666666666666,1.0666666666666667,1.488443061923162,0.467351813400723,5
Austria,1777.8828528631968,1.4,1.8,1836.8843215399247,2.2666666666666666,1.0666666666666667,1.080117626545097,0.9929671187289556,1
Belgium,1854.921325579603,2.6,1.0,1673.958793537827,3.2,1.0,-0.2503965980777771,1.0244536275379597,1
Bosnia and Herzegovina,1596.0493896205408,1.2,1.8,1721.2221325189068,1.8666666666666667,1.3333333333333333,-0.8258945870943779,0.2328382798769673,1
Brazil,1913.6322110766782,2.0,0.8,1732.8386989004405,1.8666666666666667,0.8,0.5694518034902526,0.2667725423071856,2
Canada,1714.6935016741463,1.8,1.2,1663.9341429368662,1.3333333333333333,0.6666666666666666,1.9951680402942489,0.1615362442146397,3
Cape Verde,1560.2726672373472,1.0,1.2,1810.7717480081878,1.4666666666666666,1.0666666666666667,0.8049908084397812,-0.121500795314888,4
Colombia,1901.3993730275017,1.6,1.0,1717.2461824367524,1.9333333333333333,1.0,0.8182417733778079,0.4651635444040333,2
Croatia,1855.3412423059985,1.4,2.0,1790.9536152438545,2.3333333333333335,1.1333333333333333,0.5769022576789682,0.8316886088423607,1
Curaçao,1250.351034023852,0.4,3.2,1703.3870952346565,1.4666666666666666,1.5333333333333334,2.0168592007742494,0.6688764040198372,3
Czech Republic,1654.2558261501163,1.2,2.0,1706.5325865455168,1.7333333333333334,1.2666666666666666,0.6485480623214006,0.7072029790110973,1
DR Congo,1627.8064577284356,1.2,1.0,1784.1187615862277,1.2666666666666666,0.7333333333333333,2.61290877933199,0.396075662410995,4
Ecuador,1845.2762849645069,0.6,1.0,1715.7146015802095,0.6,0.5333333333333333,2.841943344038263,-0.9579906315068104,2
Egypt,1698.073654974528,2.4,1.8,1772.884310569243,1.6666666666666667,1.1333333333333333,1.6460467068253437,-0.2009489111106215,4
England,1958.0088229625287,2.2,1.0,1701.8037061537598,2.2,0.6666666666666666,2.643673065164845,1.587447246742078,1
France,2043.8183661995872,2.8,0.4,1745.4715926014032,2.7333333333333334,0.8666666666666667,0.969575804641949,1.1519830256629635,1
Germany,1854.069503823568,3.2,2.0,1608.2614153677891,2.6666666666666665,1.5333333333333334,0.716050903367406,1.4653306021550954,1
Ghana,1511.8495481033133,0.6,1.0,1861.3383185455812,1.3333333333333333,1.0666666666666667,0.1613769955320855,0.2281988607875314,4
Haiti,1487.6960999289638,0.6,2.0,1721.4834495870077,1.0,1.6666666666666667,0.5885946874185748,1.7827275522133474,3
Iran,1722.5567832422491,1.8,1.0,1664.546517748227,1.6666666666666667,0.9333333333333333,1.4086126402216854,0.7303561658348746,5
Iraq,1584.0843854649202,0.6,2.8,1767.150773524585,1.0,1.3333333333333333,0.757939382446057,-0.4632888318824674,5
Ivory Coast,1649.610908436297,1.2,0.8,1719.255039198896,2.1333333333333333,0.7333333333333333,3.123825163669857,0.2288997485813988,4
Japan,1812.1666646789693,1.8,1.0,1811.806467414802,1.7333333333333334,0.8,2.720743468328536,1.632558659862389,5
Jordan,1587.861375278285,1.4,2.4,1770.7026825605499,1.6666666666666667,1.8666666666666667,0.695290420577513,0.2082248561321994,5
Mexico,1854.4902916286242,2.0,0.6,1743.487495778226,1.4,0.8666666666666667,1.929174739703912,0.3750315277971329,3
Morocco,1867.906394446795,2.6,1.2,1744.2974762798658,2.066666666666667,0.7333333333333333,4.439868264704869,0.9111477088979372,4
Netherlands,1889.7959039303007,2.8,1.8,1764.1130977939902,3.066666666666667,1.1333333333333333,0.7097174716375049,1.5961668012014183,1
New Zealand,1518.8307261893103,1.6,2.6,1688.8357559484534,1.5333333333333334,1.6666666666666667,0.3495321488511139,1.4072213549807624,6
Norway,1857.8146403560838,2.4,1.8,1790.0339877590868,2.8666666666666667,1.0,1.5197365911070084,2.2150313093239897,1
Panama,1643.8295670707848,0.6,1.2,1667.1856579163928,1.2,0.9333333333333333,0.5755546911142203,0.6796246493567383,3
Paraguay,1815.5024059301936,1.4,1.8,1828.0049088487601,1.1333333333333333,1.2666666666666666,1.2379631648085436,-0.3816563228032057,2
Portugal,1914.3721028880811,1.6,0.6,1826.0251478647108,2.2666666666666666,0.8666666666666667,0.575614208339525,0.5087023962005716,1
Qatar,1463.2946225163535,0.6,2.8,1644.2928926983016,0.8666666666666667,2.1333333333333333,-1.3305374616937151,0.2073761850843876,5
Saudi Arabia,1561.8979810159594,0.4,2.2,1765.8703381346913,0.9333333333333333,1.4,0.3338069412133331,-0.791292197198416,5
Scotland,1702.1540974178663,0.2,1.2,1727.7856397243365,1.3333333333333333,1.2666666666666666,0.2628326423350543,0.0905167563300683,1
Senegal,1748.4967445308607,2.6,2.0,1738.8348356476047,2.3333333333333335,1.1333333333333333,2.560616043834865,1.3554950365656575,4
South Africa,1537.377000688555,0.6,1.2,1722.7738918303035,1.3333333333333333,1.0,1.1992827037556832,0.6082738220698879,4
South Korea,1696.3611239442937,0.4,1.6,1692.7162382802312,1.2666666666666666,1.1333333333333333,1.5061242171046552,1.2937143504544018,5
Spain,2081.454339335314,1.8,0.0,1722.5842787368365,2.6666666666666665,0.5333333333333333,-0.0007677266916213,0.0002437217326143,1
Sweden,1708.6299557298523,2.0,2.4,1817.1105235570867,1.8666666666666667,1.9333333333333333,-0.2807262020914015,0.673421647678982,1
Switzerland,1881.355336124339,2.6,1.2,1690.7485696190422,2.533333333333333,0.9333333333333333,0.1843971767315491,0.8497090905549373,1
Tunisia,1560.7867171806774,0.6,2.4,1739.9188973955654,1.3333333333333333,1.6666666666666667,1.0660385349906365,0.5987031243292221,4
Turkey,1825.0234096024146,1.0,1.0,1716.1274474539673,2.0,1.3333333333333333,-0.1534325424283321,1.0870174069119958,1
United States,1711.358083546197,2.2,1.6,1769.7169155232878,1.8666666666666667,1.6,-0.1767804909518889,0.7634008807517694,3
Uruguay,1819.079416710947,0.8,1.0,1762.4383659205112,0.8666666666666667,0.9333333333333333,1.1810582232194555,-1.0815786734613415,2
Uzbekistan,1635.495625904743,1.0,2.4,1715.7023987167795,1.2,1.2,2.562417285584731,0.4275325182780286,5
